,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134
20,204,195,195,195,195,195,195,204,204,213,213,213,213,213,213,213,213,204,204,195,195,184,184,175,175,109,82,57,37,25,18,15,13,9,9,3,6,8,12,15,20,31,45,82,109,126,148,156,166,175,184,195,195,204,204,204,204,204,204,204,204,204,204,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,184,175,175,156,148,148,148,148,156,166,166,175,175,195,195,195,195,195,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204
21,204,195,195,195,195,195,204,204,213,224,224,224,224,224,224,224,224,213,204,204,195,195,184,175,175,117,91,66,37,26,19,16,13,9,9,4,6,7,11,15,20,31,43,82,109,126,156,166,166,184,195,195,204,204,213,213,213,213,213,213,213,213,213,204,204,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,195,184,184,175,156,148,148,148,148,166,166,175,184,184,195,195,195,195,195,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213
22,213,204,204,204,204,204,204,213,224,233,233,233,233,233,233,233,224,224,213,204,204,204,195,184,184,126,109,70,40,27,20,16,13,10,9,5,6,7,11,15,20,31,43,76,117,134,156,175,175,184,195,204,204,213,224,224,224,224,224,224,224,224,224,213,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,204,195,184,184,166,156,156,156,156,175,175,184,184,195,204,204,204,204,204,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
23,224,213,213,213,213,213,213,224,233,233,243,243,243,243,243,233,233,233,224,213,213,204,204,195,195,134,117,76,43,27,21,17,13,10,9,6,6,7,10,15,20,31,45,82,126,148,166,175,184,195,204,213,213,224,224,224,224,224,224,224,224,224,224,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,204,195,195,175,166,166,166,166,175,184,184,195,204,213,213,213,213,213,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224
24,233,224,224,224,224,224,224,224,233,233,243,243,243,243,243,243,243,233,224,224,213,213,204,195,195,156,126,82,43,29,21,17,13,10,9,6,6,8,11,14,19,30,47,76,126,156,175,184,184,195,204,213,224,224,224,224,224,224,224,224,224,224,224,224,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,213,204,195,195,175,166,166,166,166,184,184,195,195,204,213,213,213,213,213,233,233,233,233,233,224,224,224,224,224,233,233,233,233,233,224,224,224,224,224,224,224,224,224,224,224,224
25,243,233,233,233,233,233,233,233,233,233,243,249,249,249,249,249,243,243,233,233,213,213,204,204,195,184,156,91,47,30,21,17,13,10,9,7,6,9,12,15,19,31,52,91,148,166,195,195,184,195,204,213,224,224,233,233,233,233,233,233,233,233,233,233,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,224,213,213,204,195,184,175,175,175,175,184,184,195,204,204,224,224,224,224,224,243,243,243,243,243,233,233,233,233,233,243,243,243,243,243,233,233,233,233,233,233,233,233,233,233,233,233
26,243,243,243,243,243,243,243,243,243,243,249,249,249,249,249,249,243,243,233,233,224,224,213,204,204,195,156,91,47,32,21,17,13,9,5,5,5,7,10,14,19,30,50,109,148,166,195,204,204,204,213,224,224,233,233,243,243,243,243,243,243,243,243,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,233,224,213,213,195,184,184,184,184,195,204,213,213,224,233,233,233,233,233,249,249,249,249,249,243,243,243,243,243,249,249,249,249,243,243,243,243,243,243,243,243,243,243,243,243,243
27,243,243,243,243,243,243,243,243,243,243,249,249,249,249,249,249,243,243,233,233,233,224,224,213,204,156,117,66,43,32,21,17,13,10,7,9,7,9,11,14,18,26,45,91,148,166,195,213,213,224,224,233,233,243,243,243,243,243,243,243,243,243,243,233,249,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,243,233,224,204,195,195,195,195,213,213,213,224,233,243,243,243,243,243,249,249,249,249,249,243,243,243,243,243,249,249,249,249,249,243,243,243,243,243,243,243,243,243,243,243,243
28,243,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,243,243,233,233,233,233,233,224,213,166,117,82,52,40,25,20,17,14,14,14,13,13,14,17,21,32,47,76,126,166,195,224,233,224,233,233,243,249,249,249,249,249,249,249,249,249,249,243,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,249,243,243,224,213,213,213,213,224,224,233,243,243,255,255,255,255,255,255,255,255,255,255,249,249,249,249,249,255,255,255,255,255,249,249,249,249,249,249,249,249,249,249,249,249
29,243,243,243,243,243,243,233,233,233,233,243,243,243,243,243,233,233,233,233,233,233,233,224,224,224,184,156,126,91,62,40,29,22,20,18,19,19,20,22,24,32,43,62,100,148,166,184,204,213,233,233,243,249,249,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,255,249,249,249,249,249,249,249,249,249,233,233,233,233,233,243,243,243,249,249,255,255,255,255,255,249,249,249,249,249,249,249,249,249,249,249,249,249,249,249,255,255,255,255,255,255,255,255,255,255,255,255
